Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00    456.65     0.00      122     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.00    456.65     0.00       72     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00    456.65     0.00       65     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00    456.65     0.00       65     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00    456.65     0.00       65     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00    456.65     0.00       65     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00    456.65     0.00       65     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00    456.65     0.00       65     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00    456.65     0.00       63     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00    456.65     0.00       63     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00    456.65     0.00       61     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00    456.65     0.00       61     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    456.65     0.00       34     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00    456.65     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00    456.65     0.00       18     0.00     0.00  std::allocator<double>::~allocator()
  0.00    456.65     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00    456.65     0.00       15     0.00     0.00  std::allocator<int>::~allocator()
  0.00    456.65     0.00       13     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00    456.65     0.00       12     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00    456.65     0.00       12     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00    456.65     0.00       11     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00    456.65     0.00       11     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00    456.65     0.00       11     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00    456.65     0.00       11     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00    456.65     0.00       11     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00    456.65     0.00       11     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00    456.65     0.00       11     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00    456.65     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00    456.65     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00    456.65     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00    456.65     0.00       10     0.00     0.00  std::allocator<double>::allocator()
  0.00    456.65     0.00       10     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00    456.65     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00    456.65     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00    456.65     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator--()
  0.00    456.65     0.00        8     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<double, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(double&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >) const
  0.00    456.65     0.00        8     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00    456.65     0.00        7     0.00     5.71  load_vector(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00    456.65     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00    456.65     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00    456.65     0.00        7     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00    456.65     0.00        6     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00    456.65     0.00        6     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
